id;abstract
1;"OBJECTIVE: To analyze the relationship between health conditions and weight changes among elderly people monitored by the SABE Survey over a ten-year period in São Paulo/SP. METHODS: This was a longitudinal study that followed (2000-baseline, 2006 and 2010) change in body weight (outcome variable) and associated health conditions (exposure variables) in the elderly (n=571); multinomial logistic regression analyses were employed. RESULTS: Average weight increase in the evaluated period was 29.0%. 34.0% (2006) and 12.5% (2010) lost weight and 18.2% (2006) and 39.9% (2010) gained weight. Prevalence of chronic diseases increased from 34.1% (2000) to 51.9% (2006) and 60.1% (2010). Older people with weight gain also rated their overall health as poorer in 2006 (RR:3.15; 95%CI 1.21;8.17) and 2010 (RR:2.46; 95%CI 1.02;5.94). The higher numbers of diseases (RR:2.12; 95%CI 1.00;4.46) and hospitalizations (RR:3.50; 95%CI 1.40;8.72) were associated with a decrease in weight in 2010. CONCLUSION: Weight changes are related to poorer health status among the elderly."
2;"OBJECTIVE: To analyze the frequency of sadness, nervousness, and sleep disorders during the COVID-19 pandemic in Brazil, identifying the most affected demographic segments. METHODS: This was a cross-sectional study using an online questionnaire answered by adults and elderly people to collect information on living conditions, health and health-related behaviors. Prevalence rates and prevalence ratios adjusted for age and sex were estimated. RESULTS: The data on 45,161 Brazilian respondents showed that during the pandemic 40.4% (95%CI 39.0;41.8) frequently felt sad or depressed and 52.6% (95%CI 51.2;54.1) frequently felt anxious or nervous; 43.5% (95%CI 41.8;45.3) reported the onset of sleep problems and 48.0% (95%CI 45.6;50.5) had a prior sleep problem that had become worse. Frequent sadness and nervousness, as well as change in sleep patterns were higher in young adults, women and those with a history of depression. CONCLUSION: The high prevalence found indicates the need to guarantee the provision of services for mental health and quality of sleep that are adapted to the pandemic context."
3;
4;"OBJECTIVE: To analyze factors associated with the deaths of individuals hospitalized with COVID-19 in the state of Espírito Santo, Brazil. METHODS: This was a cross-sectional study using secondary data. Logistic regression models were used to estimate crude and adjusted odds ratios (OR). RESULTS: As at May 14, 2020, 200 individuals had been discharged and 220 had died. Of the total number of people studied, 57.1% were male, 46.4% were >60 years old, 57.9% were cases notified by a private institution, and 61.7% had >1 comorbidity. In the adjusted analysis, hospital mortality was higher for the 51-60 age group (OR=4.33 - 95%CI 1.50;12.46), the over 60 age group (OR=11.84 - 95%CI 4.31;32.54), cases notified by public institutions (OR=8.23 - 95%CI 4.84;13.99) and cases with a greater number of comorbidities (two [OR=2.74 - 95%CI 1.40;5.34] and three [OR=2.90 - 95%CI 1.07;7.81]). CONCLUSION: Higher mortality was found in older individuals, those with comorbidities and users of public hospitals."
5;In view of the need to manage and forecast the number of Intensive Care Unit (ICU) beds for critically ill COVID-19 patients, the Forecast UTI open access application was developed to enable hospital indicator monitoring based on past health data and the temporal dynamics of the Coronavirus epidemic. Forecast UTI also enables short-term forecasts of the number of beds occupied daily by COVID-19 patients and possible care scenarios to be established. This article presents the functions, mode of access and examples of uses of Forecast UTI, a computational tool intended to assist managers of public and private hospitals within the Brazilian National Health System by supporting quick, strategic and efficient decision-making.
6;This article presents an experience report about integration between public and private health services, health service managers and the academy, for surveillance and control of the COVID-19 epidemic, in the municipality of Tubarão, Santa Catarina, Brazil. The city is home to a university and has a large flow of people from different parts of the country, as well as being one of the first municipalities in the state of Santa Catarina to report cases of community transmission of SARS-CoV-2. The measures adopted included the implementation of the COVID-19 Monitoring Committee, the Municipal Health Emergency Operations Center, and the COVID-19 Contingency Plan. After 100 days of pandemic, 5,979 cases had been reported, 431 (7.2%) had been confirmed, of which five (1.2%) died. Early decisions, such as the immediate suspension of business activities and crowded events, may have reduced the spread of the virus. The partnerships put into place have provided innovation and supported public service management in decision-making based upon scientific evidence.
7;"OBJECTIVE: To analyze the suicide mortality trend among Brazilian adolescents from 1997 to 2016. METHODS: This is an ecological time series study; Prais-Winsten regression was used. RESULTS: 14,852 suicide deaths were recorded, with mortality rates per 100,000 inhabitants of 1.95 in 1997, 2.65 in 2016 and average of 2.14 for the period 1997-2016; deaths predominated in males (67.59%), as well as deaths due to intentional self-harm (84.19%) and suicides at home (52.69%); the Midwest region had the highest rate in the period (3.71/100,000 inhabitants), in particular the state of Mato Grosso do Sul (8.3/100,000 inhabitants); the suicide trend rose 1.35% per annum in the general adolescent population (95%CI 0.56;2.15), 1.63% in males (95%CI 0.56;2.29), 3.11% in the North (95%CI 2.25;3.98) and 4.19% in the Northeast (95%CI 2.58;5.84). CONCLUSION: Suicide mortality in Brazilian adolescents showed an upward trend in the period studied."
8;OBJECTIVE: To describe lifestyle changes with regard to consumption of tobacco and alcohol, food intake and physical activity, in the period of social restriction resulting from the COVID-19 pandemic. METHODS: This is a cross-sectional study conducted in Brazil with data from the ConVid online health behavior survey. The data were collected via an online questionnaire answered by the survey participants. Post-stratification procedures were used to calculate prevalence rates and 95% confidence intervals. RESULTS: 45,161 individuals aged 18 years or more participated. During the period of social restriction participants reported a decrease in practicing physical activity and an increase in time spent using computers or tablets or watching TV, intake of ultra-processed foods, number of cigarettes smoked and alcoholic beverage consumption. Differences were observed according to sex and age group. CONCLUSION: The results indicate a worsening of lifestyles and an increase in health risk behaviors.
9;[This corrects the article doi: 10.5123/S1679-49742020000100018].
10;OBJECTIVE: To describe the oral health care services for people with disabilities treated within the Dentistry for Patients with Special Needs (PSN) specialty. METHODS: This was a cross-sectional study with data from the Program for Improving Access and Quality of Dental Specialty Centers (PMAQ-CEO) in 2014. RESULTS: Of the total of 932 services evaluated, 89.8% did provide care for PSNs, 30.4% had physical accessibility, 59.7% provided referral to hospital care and most guaranteed complete treatment. Only a third of the Dental Specialty Centers planned 40 or more hours a week for providing clinical care to PSNs. CONCLUSION: The care network for people with disabilities is being formed but, even with specific financial incentives, it has limitations. Services need to eliminate physical and attitudinal barriers to ensure universal accessibility. Protocols based on risk classification are necessary, prioritizing care at DSCs for complex cases not attended to in Primary Care and organizing the dental health care network for people with disabilities.
